,Unnamed: 0,driver,ageDuringRace,points
460,460,DaniilKvyat,24,1.0
461,461,AlexanderAlbon,22,0.0
462,462,KimiRäikkönen,39,4.0
463,463,AntonioGiovinazzi,25,0.0
464,464,PierreGasly,23,0.0
465,465,MaxVerstappen,21,15.0
466,466,RomainGrosjean,32,0.0
467,467,KevinMagnussen,26,8.0
468,468,SergioPérez,29,0.0
469,469,LanceStroll,20,2.0
470,470,LewisHamilton,23,4.0
471,471,HeikkiKovalainen,26,6.0
472,472,NickHeidfeld,30,3.0
473,473,RobertKubica,23,8.0
474,474,NicoRosberg,22,0.0
475,475,KazukiNakajima,23,0.0
476,476,FernandoAlonso,26,1.0
477,477,NelsonPiquet Jr.,22,0.0
478,478,KimiRäikkönen,28,10.0
479,479,FelipeMassa,26,0.0
480,480,SébastienBourdais,29,0.0
481,481,SebastianVettel,20,0.0
482,482,TimoGlock,26,0.0
483,483,JarnoTrulli,33,5.0
484,484,TakumaSato,31,0.0
485,485,AnthonyDavidson,28,0.0
486,486,DavidCoulthard,37,0.0
487,487,MarkWebber,31,2.0
488,488,AdrianSutil,25,0.0
489,489,GiancarloFisichella,35,0.0
490,490,JensonButton,28,0.0
491,491,RubensBarrichello,35,0.0
492,492,LewisHamilton,22,8.0
493,493,FernandoAlonso,26,10.0
494,494,NickHeidfeld,30,5.0
495,495,RobertKubica,22,0.0
496,496,NicoRosberg,22,0.0
497,497,AlexanderWurz,33,0.0
498,498,HeikkiKovalainen,25,1.0
499,499,GiancarloFisichella,34,3.0
500,500,KimiRäikkönen,27,6.0
501,501,FelipeMassa,26,4.0
502,502,VitantonioLiuzzi,27,0.0
503,503,ScottSpeed,24,0.0
504,504,JarnoTrulli,33,2.0
505,505,RalfSchumacher,32,0.0
506,506,TakumaSato,30,0.0
507,507,AnthonyDavidson,28,0.0
508,508,DavidCoulthard,36,0.0
509,509,MarkWebber,30,0.0
510,510,AdrianSutil,24,0.0
511,511,ChristijanAlbers,28,0.0
512,512,JensonButton,27,0.0
513,513,RubensBarrichello,35,0.0
514,514,LewisHamilton,24,1.0
515,515,HeikkiKovalainen,27,0.0
516,516,NickHeidfeld,32,4.0
517,517,RobertKubica,24,0.0
518,518,NicoRosberg,23,0.5
519,519,KazukiNakajima,24,0.0
520,520,FernandoAlonso,27,0.0
521,521,NelsonPiquet Jr.,23,0.0
522,522,KimiRäikkönen,29,0.0
523,523,FelipeMassa,28,0.0
524,524,SébastienBourdais,30,0.0
525,525,SébastienBuemi,20,0.0
526,526,TimoGlock,27,3.0
527,527,JarnoTrulli,34,2.5
528,528,MarkWebber,32,1.5
529,529,SebastianVettel,21,0.0
530,530,AdrianSutil,26,0.0
531,531,GiancarloFisichella,36,0.0
532,532,JensonButton,29,5.0
